order_item_id,order_id,product_id,quantity,unit_price
1,600001,3007,5,49.29
2,600002,3020,2,135.77
3,600002,3015,3,252.08
4,600002,3074,2,306.37
5,600002,3039,1,295.71
6,600003,3049,3,32.26
7,600003,3015,5,344.67
8,600003,3038,5,148.36
9,600004,3036,1,310.22
10,600004,3047,3,122.25
11,600004,3065,5,163.93
12,600004,3039,1,127.33
13,600005,3002,4,57.31
14,600006,3065,5,238.8
15,600006,3032,1,226.68
16,600006,3067,4,107.85
17,600007,3014,5,197.79
18,600008,3010,5,79.87
19,600008,3060,2,155.95
20,600008,3057,4,47.91
21,600009,3011,1,318.73
22,600010,3019,4,98.95
23,600011,3049,1,310.31
24,600011,3046,5,312.0
25,600012,3041,2,169.46
26,600012,3046,3,289.97
27,600012,3071,3,149.57
28,600013,3007,4,28.28
29,600013,3067,0,201.59
30,600014,3017,1,282.65
31,600015,3072,4,239.29
32,600015,3020,3,307.44
33,600015,3079,2,196.71
34,600016,3054,5,332.07
35,600017,3041,5,331.18
36,600017,3018,3,201.02
37,600018,3001,3,79.36
38,600018,3061,3,138.38
39,600019,3033,5,170.65
40,600019,3042,2,324.49
41,600019,3035,3,254.04
42,600019,3062,1,310.37
43,600020,3028,5,25.84
44,600020,3071,3,117.53
45,600020,3071,2,121.06
46,600020,3018,4,168.1
47,600021,3008,2,191.23
48,600021,3001,4,244.63
49,600021,3011,2,299.08
50,600022,3043,4,76.47
51,600023,3050,4,145.32
52,600024,3017,1,109.45
53,600024,3034,5,346.54
54,600024,3018,3,173.93
55,600025,3018,5,90.25
56,600025,3047,1,106.64
57,600025,3010,3,199.56
58,600026,3006,1,53.62
59,600026,3077,5,153.99
60,600026,3038,4,115.04
61,600027,3077,2,106.84
62,600028,3021,5,290.89
63,600028,3068,1,268.06
64,600028,3001,3,5.85
65,600029,3035,1,50.87
66,600030,3075,2,58.76
67,600030,3036,5,273.76
68,600030,3001,2,146.64
69,600030,3080,3,239.43
70,600031,3053,3,195.11
71,600032,3058,2,100.38
72,600032,3039,3,328.54
73,600032,3047,2,266.53
74,600033,3040,5,73.08
75,600033,3028,1,348.4
76,600034,3005,3,260.01
77,600035,3069,5,201.53
78,600035,3074,5,159.53
79,600036,3009,5,175.68
80,600037,3050,2,18.58
81,600037,3049,1,233.66
82,600037,3061,4,201.27
83,600038,3020,1,344.76
84,600038,3053,2,87.95
85,600039,3054,5,109.0
86,600039,3070,2,205.42
87,600039,3006,3,307.25
88,600039,3004,5,103.18
89,600040,3013,5,50.38
90,600040,3068,5,155.09
91,600040,3066,3,228.47
92,600041,3003,3,82.45
93,600042,3050,3,127.44
94,600043,3063,5,229.64
95,600043,3033,4,275.47
96,600043,3067,5,124.79
97,600044,3008,2,345.35
98,600045,3025,2,256.91
99,600045,3079,5,293.36
100,600045,3028,4,9.45
101,600045,3023,5,89.2
102,600046,3012,1,242.87
103,600046,3039,5,348.21
104,600047,3055,4,38.92
105,600047,3051,5,282.93
106,600047,3010,2,226.94
107,600047,3047,5,340.32
108,600048,3071,3,113.5
109,600048,3060,3,174.03
110,600048,3061,3,11.21
111,600049,3060,5,301.58
112,600049,3074,4,6.35
113,600049,3049,4,124.56
114,600050,3014,2,239.45
115,600050,3049,4,49.71
116,600051,3064,5,116.6
117,600051,3025,3,54.67
118,600051,3065,4,349.0
119,600051,3016,3,179.5
120,600052,3065,1,58.77
121,600053,3063,1,211.27
122,600054,3062,4,224.67
123,600054,3010,5,240.53
124,600054,3027,3,159.57
125,600055,3033,3,331.26
126,600056,3003,5,21.71
127,600056,3001,1,195.27
128,600057,3067,1,155.68
129,600057,3079,3,66.31
130,600058,3046,1,322.21
131,600059,3075,4,208.91
132,600059,3063,1,292.8
133,600059,3018,1,349.75
134,600060,3066,2,345.69
135,600061,3037,4,105.42
136,600061,3054,3,233.25
137,600062,3014,5,265.96
138,600063,3039,2,157.12
139,600064,3069,2,298.84
140,600064,3018,5,241.42
141,600064,3064,5,286.95
142,600064,3037,3,293.26
143,600065,3021,5,144.47
144,600065,3004,5,328.68
145,600065,3035,3,77.53
146,600065,3067,1,123.68
147,600066,3066,5,145.8
148,600067,3056,2,235.91
149,600067,3045,3,57.26
150,600067,3011,4,153.23
151,600068,3006,4,49.58
152,600069,3011,4,54.72
153,600069,3035,5,210.38
154,600069,3003,4,18.32
155,600069,3027,3,216.85
156,600070,3055,4,322.2
157,600070,3055,3,232.46
158,600071,3066,3,156.71
159,600072,3006,3,83.55
160,600072,3033,4,236.87
161,600072,3029,2,102.52
162,600072,3020,2,267.13
163,600073,3068,1,38.61
164,600073,3063,2,177.29
165,600073,3025,3,320.18
166,600073,3076,3,58.49
167,600074,3014,3,31.89
168,600074,3016,3,23.1
169,600074,3068,3,187.15
170,600075,3018,3,175.41
171,600075,3076,4,257.09
172,600075,3063,4,108.16
173,600075,3042,5,109.04
174,600076,3069,4,97.69
175,600076,3057,2,102.96
176,600076,3012,4,76.87
