order_id,customer_id,order_date,shipping_city,order_status
600001,20616,2026-06-09,PRISHTINA,completed
600002,20222,2026-07-15, Prishtina ,Completed
600003,20463,2026-06-28,Prizren, completed 
600004,20303,2026-06-30,Ferizaj, pending 
600005,20299,2026-06-23, Prishtina ,Completed
600006,20312,2026-03-23,MITROVICE,completed
600007,20687,2026-05-30,PRIZREN, refunded 
600008,20342,2026-07-18,Mitrovicë, pending 
600009,20141,2026-03-16,PRISHTINA,Pending
600010,90066,2026-04-18,Gjakovë,completed
600011,20048,2026-05-30,Peja,Completed
600012,20468,2026-02-13,PRIZREN,Pending
600013,20472,2026-01-09, Gjakove ,completed
600014,20051,2026-06-27,Prishtina,Completed
600015,20304,2026-06-12,gjakove, completed 
600016,20107,2026-01-27,gjakove,cancelled
600017,20606,2026-07-04, Gjakove ,completed
600018,20179,2026-07-09,Mitrovicë,canceled
600019,20165,2026-05-03,PEJA, cancelled 
600020,20064,2026-05-31,FERIZAJ,completed
600021,20003,2026-06-26,Prishtina,Cancelled
600022,20356,2026-07-07,Gjakovë,pending
600023,20665,2026-06-26,Mitrovicë,Completed
600024,20411,2026-07-04,Peja,COMPLETED
600025,20368,2026-06-26,gjilan,completed
600026,20548,2026-05-25,Peja,COMPLETED
600027,20274,2026-03-06,Prishtina,Completed
600028,20677,2026-07-29,gjakove,COMPLETED
600029,20597,2026-07-22,Vushtrri, completed 
600030,20339,2026-05-21,Peja, completed 
600031,20142,2026-07-06,Gjilan,COMPLETED
600032,20583,2026-04-22,vushtrri,COMPLETED
600033,20333,2026-06-04,VUSHTRRI,pending
600034,20653,2026-02-11, Gjakove ,COMPLETED
600035,20415,2026-07-31,VUSHTRRI,completed
600036,20023,2026-08-03,GJILAN,Completed
600037,20437,2026-04-09,prizren,Completed
600038,20213,2026-04-17,ferizaj,pending
600039,20599,2026-07-08,Peja,COMPLETED
600040,20359,2026-05-20, Gjakove ,completed
600041,20138,2026-01-30,Prishtina,COMPLETED
600042,20326,2026-06-25,Prishtina,completed
600043,20627,2026-03-18,gjilan,completed
600044,20472,2026-07-03,Prishtina, completed 
600045,20575,2026-05-29,ferizaj,completed
600046,20460,2026-06-02,Prizren,Completed
600047,20367,2026-05-10, Prishtina ,completed
600048,20029,2026-06-03,Gjilan,completed
600049,20579,2026-02-07,gjilan,refunded
600050,20329,2026-03-14,ferizaj,cancelled
600051,20674,2026-03-31,Peja, completed 
600052,20458,2026-04-11,Prishtina,completed
600053,20243,2026-04-03,Gjakovë,completed
600054,20362,2026-07-16,Prishtina,completed
600055,20425,2026-01-24,Mitrovice, completed 
600056,20176,2026-02-27,Gjilan, completed 
600057,20564,2026-01-11,Ferizaj,REFUNDED
600058,20078,2026-03-06,mitrovice,COMPLETED
600059,20394,2026-02-13,gjilan,COMPLETED
600060,20320,2026-02-13, Gjakove , completed 
600061,20480,2026-04-28,FERIZAJ,CANCELLED
600062,20252,2026-01-12,Vushtrri, completed 
600063,20632,2026-03-14, Prishtina ,completed
600064,20304,2026-04-03,Prishtina,COMPLETED
600065,20098,2026-05-05,Gjilan,PENDING
600066,20365,2026-03-11,Prishtina,Completed
600067,20624,2026-03-13,Gjilan,completed
600068,20020,2026-01-02, Prizren ,Refunded
600069,20201,2026-05-04,prishtina,COMPLETED
600070,20652,2026-06-09,Prizren,completed
600071,20163,2026-01-07,Prishtina, completed 
600072,20377,2026-04-22,ferizaj,REFUNDED
600073,20003,2026-06-16,ferizaj, completed 
600074,20363,2026-03-15,gjilan,completed
600075,20115,2026-05-07,PRIZREN,completed
600076,20632,2026-04-16,VUSHTRRI,completed
600077,20387,2026-04-08,Prishtina,refunded
600078,20067,2026-05-03,Gjilan,COMPLETED
