payment_id,order_id,amount,payment_method,payment_status,payment_date
800001,600002,1936.23,CARD,paid,2026-04-08
800002,600003,2561.93,CARD,paid,2026-04-24
800003,600007,988.95,bank_transfer,paid,2026-04-12
800004,600008,902.89,paypal,paid,2026-07-16
800005,600009,318.73,bank_transfer,paid,2026-08-12
800006,600010,395.8,CARD,paid,2026-01-28
800007,600011,1870.31, Bank Transfer ,paid,2026-06-12
800008,600012,1657.54,card,paid,2026-03-27
800009,600013,113.12,CARD,paid,2026-04-23
800010,600014,282.65, Bank Transfer ,paid,2026-02-01
800011,600015,2646.67, Bank Transfer ,paid,2026-05-15
800012,600016,1660.35,card,paid,2026-03-29
800013,600017,2258.96,CARD,paid,2026-02-20
800014,600018,653.22,paypal,paid,2026-03-30
800015,600019,2574.72, Bank Transfer ,paid,2026-04-09
800016,600020,1396.31, Bank Transfer ,paid,2026-01-13
800017,600021,1959.14,paypal,paid,2026-02-22
800018,600022,305.88,cash,paid,2026-03-02
800019,600023,581.28,card,paid,2026-06-14
800020,600024,0,CARD,failed,2026-07-07
800021,600025,1156.57,cash,paid,2026-07-07
800022,600026,1283.73,CARD,paid,2026-04-29
800023,600027,213.68,paypal,paid,2026-03-28
800024,600028,1740.06,paypal,paid,2026-07-14
800025,600029,50.87,CARD,paid,2026-02-23
800026,600030,1367.23, Bank Transfer ,paid,2026-02-12
800027,600031,-585.33,paypal,refunded,2026-03-29
800028,600032,1719.44,paypal,paid,2026-06-25
800029,600033,713.8,bank_transfer,paid,2026-06-24
800030,600034,780.03,paypal,paid,2026-01-18
800031,600036,878.4,cash,paid,2026-06-01
800032,600038,520.66,paypal,paid,2026-04-27
800033,600039,2393.49,card,paid,2026-03-08
800034,600040,1712.76,cash,paid,2026-07-27
800035,600041,247.35,paypal,paid,2026-04-20
800036,600042,382.32,bank_transfer,paid,2026-06-20
800037,600044,690.7,paypal,paid,2026-03-03
800038,600045,2464.42,cash,paid,2026-04-23
800039,600046,1983.92,card,paid,2026-08-01
800040,600047,3725.81,card,paid,2026-08-07
800041,600048,896.22,card,paid,2026-07-27
800042,600049,2031.54,cash,paid,2026-08-06
800043,600050,677.74,paypal,paid,2026-03-21
800044,600051,2681.51, Bank Transfer ,paid,2026-05-16
800045,600052,58.77, Bank Transfer ,paid,2026-04-28
800046,600053,211.27,cash,paid,2026-04-28
800047,600054,1967.25,paypal,paid,2026-04-03
800048,600055,993.78, Bank Transfer ,paid,2026-06-29
800049,600056,303.82,CARD,paid,2026-08-09
